cust_id,cust_name,dob,gender,account_no,account_type,branch_code,balance,currency,txn_id,txn_amount,txn_type,txn_date,loan_id,loan_amount,loan_status,interest_rate,credit_score,email,city,state,country
1955,John ,03-06-20,M,58495982,CUR,,40286.67917,INR,981809,-9159.128948,credit,08-18-20,8759,336139.4147,,5.330521949,258,,,,India
1276,,01-20-21,F,19184536,current,,34799.25097,,405007,24011.506,,01-08-22,7503,448764.3112,closed,5.011314751,708,test@gmail.com,Delhi,MH,USA
1160,Sneha,10-09-20,Male,57766655,SAV,,91081.37691,INR,837197,45936.01304,,11-05-23,6292,223580.2523,active,5.788180772,658,,Delhi,,India
1459,,08-27-22,,26413806,,BR01,21372.77309,,165439,29956.82996,credit,03-22-22,6654,218477.4305,,12.62998898,719,,,,India
1313,Rahul,12-15-20,,29748999,SAV,,83642.29416,,762554,39359.44811,,10-03-22,5810,392268.2593,active,10.84576473,755,,Pune,,
1021,Bob,10-14-20,M,50078991,saving,,45822.16011,USD,826747,-9203.127792,DR,05-03-21,5187,46648.92774,,5.381182452,322,,Pune,,USA
1252,,02-09-20,M,43121540,CUR,BR02,48980.02147,,745649,22520.91791,,08-16-21,8068,260437.0183,,9.880970159,333,test@gmail.com,Mumbai,DL,
1747,Sneha,07-02-23,Male,37705858,SAV,BR02,27389.16956,,312986,17573.77865,credit,12-25-20,6592,418192.1178,,12.12029357,308,test@gmail.com,,,USA
1856,,02-18-21,Female,33313511,,,55169.43106,USD,297286,19938.07665,CR,07-17-23,7758,415096.2815,,13.68951395,270,test@gmail.com,Mumbai,MH,USA
1560,,10-10-20,F,37719138,saving,BR02,29147.17561,INR,982608,-5667.20888,DR,04-12-21,5528,478066.4282,active,14.34036491,707,,Delhi,MH,USA
1474,,12-01-20,M,30686655,current,BR01,-876.7115046,,592508,31066.12166,debit,01-07-24,5433,349136.2968,,8.27440563,406,test@gmail.com,Pune,DL,
1058,Alice,06-03-22,,90835433,current,,23559.85356,USD,129777,20193.22489,credit,07-01-20,7335,103885.3147,,6.358324284,578,invalid,,DL,India
1510,Alice,01-01-24,Male,15627745,,BR02,-4330.200442,INR,356427,35908.93099,debit,07-14-23,6941,10140.15745,closed,7.369259207,822,,,MH,
1681,Bob,01-21-20,F,81020010,saving,,97727.25264,INR,781543,19117.43804,CR,03-22-23,8638,239707.8993,,12.76171492,825,invalid,,DL,
1475,John ,08-29-20,Male,71509503,CUR,,96403.45703,,520661,-1037.101826,debit,02-20-23,7546,256851.9328,active,14.71484215,452,invalid,Pune,,
1699,,09-11-23,F,21245869,SAV,,36491.30623,,298110,28895.41724,credit,03-01-23,8512,120131.2922,,9.663936174,890,,Mumbai,,
1975,Rahul,12-30-21,F,12253722,saving,,71478.93971,INR,449345,343.1817263,credit,01-14-24,6804,62348.72356,closed,8.053532135,355,,Pune,,India
1782,John ,12-10-20,M,11649729,current,BR01,31309.64033,USD,514627,42343.6738,CR,09-12-20,5302,293104.0831,active,9.29190582,371,test@gmail.com,Mumbai,,
1189,Rahul,09-16-23,Male,59970088,,,65464.78149,INR,805937,26786.97434,credit,04-26-20,5086,382127.837,,8.048131446,567,invalid,Delhi,MH,USA
1957,John ,08-10-20,Male,11116271,,,79570.15452,INR,378011,-567.7669866,CR,07-27-23,7877,496577.0518,closed,7.564875232,431,,Delhi,DL,
1686,Bob,01-24-21,,20916876,SAV,BR01,94409.40569,,686789,47740.28345,CR,07-04-22,5437,379151.3086,active,10.93750752,864,test@gmail.com,Mumbai,,
1957,,10-17-21,,41978888,,BR02,37022.28896,,245338,21101.9278,credit,12-22-20,7588,396816.2071,,5.157359804,565,,Delhi,,India
1562,,05-31-22,M,32461013,,BR02,77246.28821,USD,925854,-5626.092888,,07-27-22,6045,308230.4391,closed,7.595522487,874,,Delhi,,
1875,NULL,06-24-22,M,28458857,saving,BR02,22922.48732,,790568,27609.97426,CR,07-29-21,5832,492961.3295,active,11.61382078,655,,,,
1566,Rahul,07-18-21,Female,57204953,CUR,,98984.8919,INR,601754,5191.934421,credit,04-23-20,5796,319978.1926,,5.320626963,319,,,DL,India
1243,John ,06-01-20,,27443381,SAV,,-2294.19213,INR,745832,38221.60711,,02-15-20,5559,430126.6432,active,5.832018165,409,test@gmail.com,Pune,,USA
1831,John ,03-17-21,F,96674443,saving,BR01,58370.52468,,524429,39069.32441,CR,04-14-22,8588,472892.3231,closed,7.933961448,489,invalid,Pune,,
1504,Alice,01-27-22,Male,57380429,CUR,BR02,64248.12807,INR,762727,48736.84135,,06-23-20,5761,464929.2503,,13.77804799,772,invalid,Pune,DL,
1130,NULL,01-03-21,M,74341005,saving,BR01,67244.78349,INR,879518,20112.17186,DR,08-24-20,6698,190707.6719,,12.6488616,387,,,,India
1484,Sneha,07-07-23,Male,98362401,saving,,7640.695773,USD,659650,17297.41278,DR,03-01-21,8574,39331.02916,,5.221566294,744,,Pune,,
1818,Sneha,07-19-21,Male,47264820,,BR02,93545.62726,,350449,35208.53633,,11-08-23,8785,85936.85127,closed,10.01712817,496,test@gmail.com,Pune,,
1646,Alice,07-19-20,Female,71983306,CUR,,14024.2443,INR,413732,-2051.760619,CR,01-05-24,7514,29611.6527,,7.74687494,792,,,,USA
1020,Alice,02-16-22,,36906511,SAV,,60389.10734,,269357,22814.93083,credit,05-20-21,6124,52698.46741,,11.48645659,773,,Mumbai,,
1840,Alice,03-24-21,M,16739013,SAV,,18380.98831,USD,750971,22774.85601,debit,11-09-23,8654,92325.62295,closed,12.21553883,492,,,,India
1166,Rahul,10-22-21,Male,17089975,CUR,,27257.72379,,880445,-4631.612631,credit,07-09-22,7722,170547.1583,active,13.62862577,869,,Mumbai,,
1273,Rahul,12-22-20,M,18805586,,,52378.14688,INR,305827,15079.04513,debit,09-28-20,5684,271769.8233,active,9.754162371,585,,,,USA
1387,Bob,04-21-22,F,54564078,current,BR01,38805.30895,,302918,41197.08791,debit,09-13-21,6164,355841.0297,closed,14.94450089,671,invalid,Pune,,India
1600,Bob,08-09-20,Female,57719804,saving,,11823.6881,INR,398451,41369.21732,CR,03-11-20,5137,105463.6681,,14.79986107,443,,Delhi,,
1315,Alice,01-07-21,F,88877827,,,12948.32225,INR,442424,-4045.740105,,05-14-22,5577,336261.2021,closed,13.82166724,557,invalid,Delhi,,
1013,NULL,11-14-21,M,24263315,CUR,,38905.20276,INR,513083,-4556.747035,credit,03-16-20,5709,352129.5373,active,10.74869495,894,test@gmail.com,Mumbai,,
1241,John ,05-08-23,M,58085527,saving,BR01,74514.71272,USD,942955,5761.72862,,02-09-23,8911,279311.1684,active,8.980064375,755,test@gmail.com,Mumbai,,India
1776,Rahul,11-22-21,,65073945,SAV,BR02,89286.28792,,840045,42485.96375,DR,07-26-20,5227,451808.9349,,8.643863101,530,invalid,Mumbai,,
1345,NULL,05-27-21,Male,80977316,current,,3833.404537,USD,207669,-2265.844896,CR,09-04-22,7328,55497.40696,,5.121247501,688,invalid,Delhi,DL,
1564,,03-05-22,Male,39171429,SAV,BR01,36275.91029,,832318,33199.80816,CR,06-29-21,7731,88560.7288,closed,7.491744972,857,,Mumbai,,
1897,Rahul,11-01-22,F,37366868,CUR,,5525.784191,USD,258998,-3930.062823,DR,07-09-22,5827,214332.4122,active,12.18808235,732,invalid,,DL,USA
1339,Rahul,11-02-22,Female,18074037,saving,,-3257.789534,,727503,27388.27122,credit,01-30-20,5430,63356.36762,active,11.036321,472,invalid,,,
1091,Bob,07-15-20,Male,44867175,CUR,,64480.46168,INR,722995,11364.03795,DR,06-25-23,6063,283148.0719,active,14.16422189,366,,Delhi,,USA
1366,John ,06-26-23,,23822356,saving,,58257.19141,INR,506396,37334.83778,credit,07-01-20,8590,199200.2333,closed,5.500222669,441,,,,
1955,John ,07-16-21,F,55677485,,,12117.00695,USD,717125,4021.42693,debit,09-21-20,6709,142297.8973,closed,6.552766032,867,invalid,Mumbai,MH,India
1454,Sneha,08-19-23,F,60435843,current,BR01,19550.34747,,345847,28352.10976,CR,10-28-22,6686,84994.90651,,12.89243789,765,invalid,Delhi,,
1427,Sneha,03-27-21,,65608376,,BR01,-2510.685867,INR,327544,4140.952075,credit,08-10-20,6234,167669.1192,,8.585076312,779,invalid,Mumbai,DL,
1508,Sneha,05-26-20,Female,64432684,,BR01,82669.4566,,966304,32819.61699,,07-05-22,5301,303979.6754,,6.183453337,556,,,DL,
1775,Sneha,05-09-21,,62496899,CUR,,97342.51259,USD,974168,42420.68207,,08-17-21,6109,287892.6054,,14.96450505,781,,Mumbai,,
1942,,04-01-21,Female,53420892,current,,9223.251363,INR,367614,-2391.892052,CR,12-17-21,6420,81812.00011,active,12.87250303,371,,Delhi,DL,USA
1034,,11-29-21,,84412557,saving,,19304.89745,INR,327467,41995.74132,DR,03-16-22,8324,62459.90537,,9.087410368,898,test@gmail.com,Mumbai,DL,USA
1205,Rahul,12-14-20,,29992066,saving,,86183.00001,USD,246025,25614.51526,DR,06-21-21,5532,13338.3813,active,13.23347477,841,,,DL,USA
1080,Alice,09-13-20,M,20108631,SAV,BR01,92278.69879,USD,859940,-2373.370548,credit,03-14-21,5768,6212.796897,,11.8060387,403,invalid,Pune,DL,
1931,Bob,05-27-20,F,54613348,saving,,39060.87519,,612177,15652.51132,DR,03-13-22,8962,439905.2179,active,12.8997476,786,,Delhi,MH,
1561,Bob,08-10-22,,85092303,CUR,BR02,315.3595883,,979401,-348.3823909,CR,08-02-21,6938,22544.428,,13.15206378,701,,Mumbai,,USA
1871,Sneha,11-29-23,,38727993,,,-863.8574623,INR,715781,32020.87333,credit,08-18-22,6404,365610.5549,,5.847286833,418,,Delhi,DL,India
1387,Rahul,02-19-22,Male,76329075,,BR02,55264.73594,INR,892955,35532.08807,debit,04-26-22,5443,435992.5481,,11.22972888,308,invalid,Mumbai,MH,India
1001,NULL,12-04-20,F,51822973,,,36253.98643,USD,317995,-3652.208784,DR,05-08-21,8104,49028.92428,,5.06785553,550,,Pune,MH,
1389,Alice,01-17-23,Male,86655127,current,,-1991.495104,INR,812550,20368.39116,DR,08-06-23,5259,218150.7119,active,5.434562463,802,test@gmail.com,,,India
1565,Rahul,11-30-22,F,96835361,saving,,56241.50119,INR,393313,38877.50336,credit,05-06-22,8305,481151.4916,closed,14.03980009,799,,Mumbai,,India
1105,Alice,06-12-20,Male,34133277,CUR,BR01,-3813.233658,USD,669929,46169.78249,,01-30-21,6538,417069.3303,,10.27563721,366,,Mumbai,,USA
1771,Alice,03-24-22,,46059026,current,,77674.05561,INR,254062,20811.072,DR,08-18-21,8930,244852.0159,,12.35901986,376,,Pune,,India
1821,Alice,07-30-22,,95129374,SAV,BR02,27175.44638,INR,653949,47016.75342,CR,07-21-21,6331,381285.5564,closed,13.3850099,654,,Delhi,DL,India
1476,Rahul,08-14-23,M,63899323,CUR,BR02,-772.909684,,768779,22141.33823,DR,01-09-20,7786,416688.8122,closed,14.49586768,648,test@gmail.com,,,
1702,Sneha,07-31-21,Male,51266066,CUR,,56776.9832,,900889,13651.42968,debit,10-09-20,7843,174013.4816,,13.69352848,764,test@gmail.com,Mumbai,,
1401,Bob,12-01-21,Female,59351998,CUR,BR02,36756.86352,USD,954032,40892.18771,DR,03-21-22,5069,446076.4584,closed,9.833114487,747,test@gmail.com,Mumbai,DL,
1729,Bob,06-10-20,M,72527341,,,97249.0434,,727907,19578.96263,,06-07-21,6477,235236.6598,active,8.359703074,777,invalid,,,India
1555,Sneha,06-18-20,Male,43997463,CUR,BR02,52140.85956,,438246,18314.15063,DR,01-29-21,6462,263903.6818,,6.544932362,647,,Pune,DL,USA
1161,Alice,11-26-21,Male,25663645,saving,BR01,23900.11401,,657373,19418.74936,credit,04-25-20,6848,499853.8189,,9.003214825,514,,Delhi,,
1201,NULL,03-05-22,M,66775993,CUR,,69491.08079,,197064,40807.10011,DR,04-26-23,8435,421651.4831,,8.664935792,512,test@gmail.com,,,
1957,John ,04-10-20,,96676453,,,23506.66027,,806014,39916.4925,,03-27-22,8030,180885.0029,,10.59574842,647,test@gmail.com,Delhi,MH,
1995,Rahul,04-30-22,Male,41632286,CUR,,89945.5456,,499346,14211.19955,credit,01-22-20,8837,5172.798236,active,11.65509409,895,,Pune,MH,
1269,John ,07-16-23,,64248291,SAV,,34345.8069,,730011,9997.991592,CR,01-30-23,5480,313087.0369,closed,14.78325476,776,,Pune,,USA
1862,Sneha,02-12-20,M,84170047,SAV,,52736.19909,INR,233114,19515.68144,credit,10-13-22,6167,351956.7131,,12.28386186,685,,,DL,
1815,NULL,02-21-20,,97173138,,,310.1759015,INR,956566,24366.35058,debit,01-24-22,7071,325401.3451,,11.43748532,609,,Mumbai,DL,
1270,Rahul,02-22-21,F,21592111,saving,,39742.72998,,929414,4300.232638,credit,08-16-23,8012,483931.1756,active,8.350924343,378,invalid,Pune,,
1455,Sneha,07-10-20,Female,77399862,saving,BR02,82398.17166,,591638,37637.30508,CR,01-11-22,8496,431485.5137,active,5.345038765,883,invalid,Pune,,India
1461,Alice,06-14-21,Male,81964784,current,,79593.12456,,951617,19188.96594,DR,01-22-24,7793,224415.8466,closed,7.881251289,490,test@gmail.com,,,
1726,Bob,01-24-21,Female,83476576,,,18553.44868,,657765,10042.73291,credit,01-02-21,7892,31428.74374,,12.684479,876,invalid,,MH,
1251,John ,04-20-23,,17997043,CUR,,18738.30246,INR,738449,-3590.740422,credit,08-18-20,6198,238029.3848,,7.052719408,471,,,,India
1701,,06-06-20,Male,10181360,,BR01,80817.05778,,939141,4330.709624,credit,02-24-23,8915,344622.01,active,12.12188194,463,invalid,Pune,DL,India
1295,,10-26-22,,29221242,current,BR01,92691.83412,,784076,46956.87031,credit,01-20-23,7372,303854.9041,,10.79779843,841,,Delhi,,
1724,NULL,10-05-20,F,96401499,,BR01,5012.896734,USD,440281,8305.981209,CR,07-27-20,6892,269068.5339,,6.718568698,384,test@gmail.com,Pune,MH,USA
1719,Alice,10-10-22,M,82641274,,BR02,42256.15714,,922450,131.557362,,11-02-23,6694,234409.479,,7.616248063,635,,,DL,USA
1748,John ,04-11-23,Male,81247150,current,,30432.69929,USD,239133,17640.3675,,03-25-21,6883,146880.9365,active,9.963036035,552,,Mumbai,MH,India
1337,Alice,12-05-20,F,73848248,saving,BR01,86422.28782,INR,763969,8425.264602,credit,11-24-20,6371,138673.3809,,9.183747051,536,,Mumbai,,
1878,John ,03-18-20,F,88140533,CUR,,3770.116041,USD,397515,-7890.444984,CR,07-14-20,5797,250115.7395,,12.78563848,811,test@gmail.com,,,USA
1052,NULL,07-27-21,Male,85441964,current,BR01,17168.22397,USD,865710,9388.713037,CR,09-29-22,5017,80301.57321,active,12.34404643,438,,Mumbai,MH,
1791,NULL,01-26-22,,84002592,SAV,BR01,74009.17545,USD,445165,22646.51744,credit,08-05-23,5043,170342.7118,,10.74574503,546,,Pune,DL,
1921,,12-16-20,F,74416144,saving,,385.854143,,514021,23102.74232,debit,01-02-21,5154,161989.6374,,13.22274711,775,invalid,Delhi,MH,
1216,Alice,01-06-23,Female,63915845,SAV,,46716.21498,INR,370001,11393.53527,credit,05-11-20,5866,293566.4008,closed,10.62669541,638,,Pune,,USA
1763,Rahul,06-14-22,F,58006403,saving,,41421.23864,USD,766980,16838.16538,debit,09-17-20,7969,33341.15018,,14.64389257,708,test@gmail.com,,,
1187,,10-20-21,,28904815,CUR,BR02,30112.12379,,632465,47931.07509,credit,05-06-21,8448,414834.3401,closed,7.172240992,510,,Pune,MH,
1379,Alice,08-27-23,,25697605,CUR,BR02,36430.09311,INR,523327,12640.90863,debit,06-16-20,5742,281189.1902,,12.14131994,362,,Mumbai,,USA
1492,,06-01-23,Female,47937226,,BR01,50643.76163,,351842,5493.608796,debit,02-09-23,8954,335413.3404,closed,8.699441321,285,test@gmail.com,Pune,MH,
1040,Rahul,07-07-23,F,50253576,SAV,,11943.57263,USD,450722,4608.022644,credit,12-22-20,6851,351546.9519,active,7.789661944,328,test@gmail.com,Delhi,,India
1156,Bob,03-02-21,,65030361,saving,BR01,55059.56722,INR,714229,17465.87676,debit,12-05-21,6425,145742.0684,closed,6.80387476,524,,Mumbai,MH,USA
1014,Bob,11-17-20,Male,76298692,CUR,,79570.39458,USD,882409,35571.20892,DR,01-10-21,5224,235185.7837,,10.52503476,527,invalid,Delhi,,
1812,Bob,10-07-22,M,23099507,current,,74816.89763,,636114,2359.291051,,08-12-22,5216,478122.9779,,7.154694327,561,,Delhi,DL,USA
1064,Bob,08-07-22,M,89394364,CUR,,11159.48999,INR,769250,32557.76763,CR,07-15-20,8639,383352.619,closed,7.003508514,778,,Delhi,DL,
1856,Sneha,06-25-22,M,56801033,current,,10671.19432,,444572,-8731.010599,debit,03-21-23,5030,484778.4376,active,14.90531905,453,invalid,Pune,,
1838,John ,06-04-20,F,48844162,saving,,23158.30861,INR,610283,15135.97868,debit,09-11-23,6892,373127.1726,,13.01747417,266,test@gmail.com,Pune,MH,USA
1520,Sneha,12-19-20,Female,64769258,CUR,,32912.84627,,750332,36551.90391,CR,11-08-23,6082,87800.06985,closed,12.4827682,725,,Pune,,India
1343,Sneha,06-25-21,,92450685,CUR,BR02,37887.83605,INR,813391,10323.97735,debit,07-31-20,6915,32267.94192,,12.94060626,760,invalid,Pune,,
1128,Sneha,06-05-23,Male,53682501,saving,BR02,66368.20777,,612656,23824.22609,CR,07-13-22,5897,288830.7184,,14.68922874,459,,Mumbai,,
1647,Bob,02-10-22,Male,87647696,CUR,,951.4453774,,605350,2298.75397,credit,02-26-22,8424,178906.6399,closed,10.73276689,748,,Pune,MH,
1471,Rahul,09-25-21,F,85057004,current,,-1359.366056,,437164,34519.72347,DR,01-30-21,7982,137728.9551,closed,7.202438774,651,invalid,Mumbai,,India
1062,NULL,07-09-23,M,15720626,CUR,BR01,36150.60911,,629783,-6863.253804,DR,08-26-20,5444,403605.4982,closed,13.62209641,678,test@gmail.com,Delhi,,
1138,NULL,03-23-20,F,23654772,SAV,,68202.18767,INR,128481,41152.55869,,10-15-22,6258,183496.6335,,12.42730729,327,invalid,Mumbai,DL,
1498,John ,08-17-20,Female,49929257,,,15310.71101,,766627,1891.783185,debit,11-09-21,6130,158500.4849,,9.143083123,817,test@gmail.com,,MH,USA
1592,Bob,04-05-21,Female,48560290,current,BR01,62357.97053,USD,861062,42463.8819,,07-17-23,6214,424993.7966,,9.735694986,329,,Pune,,USA
1391,Bob,11-19-20,,39168537,SAV,,22281.95448,,237815,11151.75448,credit,04-06-23,7015,423143.6682,,9.112523985,555,,,,India
1674,Bob,01-23-23,,18221252,saving,BR01,88039.04143,,727763,33361.01447,DR,04-25-23,7577,178183.3189,,14.2994216,307,invalid,Mumbai,MH,USA
1418,,07-07-21,Female,62209619,current,,89047.44415,,804133,9153.517867,credit,12-23-21,6936,416249.3505,active,8.435316115,779,,Pune,,
1288,Alice,01-30-20,Female,98849481,,BR02,26215.15645,,419186,44354.70027,credit,06-13-22,5737,425389.2452,,14.63484279,457,,,MH,India
1378,,04-24-22,Female,71069572,,,19149.34417,INR,149476,-2401.772469,debit,04-02-23,6702,211965.2675,,14.10271771,760,,Pune,,USA
1772,Alice,02-27-23,F,89538531,saving,BR02,38186.91707,USD,847465,711.1873564,credit,07-18-22,8654,33236.5651,active,11.30521142,384,invalid,Mumbai,,USA
1489,Bob,01-07-22,Female,46421189,saving,BR01,20255.81644,,390696,19581.80751,DR,02-18-20,5873,792.3222332,,10.79821773,771,invalid,,MH,India
1230,Bob,07-26-22,Male,36502745,current,BR02,65600.30355,USD,820602,-5083.693658,,12-17-20,5565,261646.2314,active,8.700892801,830,,Mumbai,MH,
1040,,01-18-20,M,87745411,CUR,,81736.79188,USD,538988,1758.811082,DR,07-29-23,8316,172037.7467,active,5.18338389,332,invalid,,,India
1027,,06-15-20,Female,89852157,saving,BR02,65674.67375,,784308,46625.98293,debit,04-27-21,7018,498565.9471,active,6.276231862,870,,Delhi,,USA
1134,Alice,01-19-23,M,49467750,CUR,BR01,81556.79696,,307383,48589.37967,DR,04-07-23,6885,386205.4998,active,12.54231323,293,,Delhi,DL,USA
1200,NULL,05-13-22,F,23487010,SAV,BR02,36684.17703,,169093,12575.55976,CR,04-29-23,7123,380637.7282,,9.715401266,732,,Delhi,,India
1839,Alice,07-08-20,M,56206264,,,11413.28192,INR,693411,45397.16126,,11-10-21,5546,477621.3841,,6.498381342,893,,Delhi,MH,
1779,,11-29-21,F,40190179,CUR,,72484.84948,USD,116535,22689.48054,CR,07-27-23,7314,443862.1989,active,7.639608541,742,test@gmail.com,Delhi,MH,
1929,Rahul,03-29-20,Male,76627397,,,32849.82304,USD,428634,6184.547952,CR,12-26-20,5316,159093.7397,closed,14.478369,748,,Mumbai,,
1032,,06-24-21,F,21416757,CUR,BR01,65483.43665,INR,670850,32143.92326,debit,10-27-21,8883,82993.6108,closed,8.671328353,267,test@gmail.com,Delhi,DL,
1047,Rahul,02-24-20,F,37804333,SAV,BR02,23417.61391,INR,481186,29534.10839,credit,06-03-21,8192,372946.1325,closed,14.07681945,854,,Mumbai,,India
1502,John ,08-28-22,,80760251,saving,,3529.111655,INR,356323,49347.51915,CR,10-23-21,6859,189136.9468,closed,8.046358323,543,,Delhi,,
1406,,01-20-22,Female,37270507,SAV,,99221.08853,USD,975512,5902.837245,DR,06-21-22,5024,236586.3258,,10.43220094,397,,Pune,DL,
1573,John ,11-02-22,Female,54470459,saving,BR02,11401.15833,USD,358916,30323.57016,credit,07-06-22,8503,315198.8656,,5.204770834,721,invalid,Delhi,DL,
1727,NULL,04-25-20,Male,15905950,saving,BR02,98784.20437,,813895,-6878.574698,DR,10-24-20,5159,453936.3385,,10.2187511,421,,Pune,,
1804,Alice,05-22-20,Male,80321747,,,97614.39292,,330063,-3181.237678,DR,07-05-20,7643,209543.8768,active,11.36942011,812,invalid,Mumbai,,
1098,Rahul,03-14-23,Female,13028631,SAV,,78350.90091,USD,141269,-9764.897503,credit,08-17-23,6137,391658.4451,,7.343050993,780,test@gmail.com,Delhi,,
1683,Alice,02-17-21,,24218200,CUR,,64239.41102,,180674,49967.64086,credit,08-13-22,8806,134169.8956,active,10.78937176,369,invalid,,DL,
1871,John ,05-14-20,Female,92096675,SAV,BR01,55669.74028,INR,928894,38136.42183,DR,08-26-21,5899,348985.8955,active,11.47167772,315,,Mumbai,DL,USA
1725,Rahul,01-03-20,,67563860,,,85940.66226,,385291,37203.38088,debit,09-21-20,7549,789.710539,,11.86886078,390,invalid,Delhi,,India
1986,Alice,07-23-22,Male,37736989,saving,BR01,25391.14977,,538744,20583.56452,,12-25-22,6189,435753.6067,,12.76403322,695,,Mumbai,,India
1546,,07-02-21,M,16423959,,,44106.52731,USD,701383,8004.024974,,03-24-21,8060,15189.78998,closed,8.113392429,755,test@gmail.com,,,
1960,Bob,01-17-21,Male,67315945,current,BR01,60035.94678,,868460,-924.1429322,debit,12-02-23,5702,356376.8774,,10.67776956,438,,Delhi,,India
